Date,Product_A,Product_B,Product_C,Product_D,Total_Sales,Average_Sales,Month_over_Month_Growth,Month,Quarter,Max_Sales_Product,Min_Sales_Product
2025-01-01,88,34,40,21,183,45.75,0.0,Jan,Q1,Product_A,Product_D
2025-02-01,78,30,55,40,203,50.75,10.92896174863387,Feb,Q1,Product_A,Product_B
2025-03-01,64,79,23,13,179,44.75,-11.822660098522164,Mar,Q1,Product_B,Product_D
2025-04-01,92,51,52,42,237,59.25,32.402234636871505,Apr,Q2,Product_A,Product_D
2025-05-01,57,46,40,41,184,46.0,-22.36286919831224,May,Q2,Product_A,Product_C
2025-06-01,70,47,23,31,171,42.75,-7.065217391304346,Jun,Q2,Product_A,Product_C
2025-07-01,88,57,43,45,233,58.25,36.257309941520475,Jul,Q3,Product_A,Product_C
2025-08-01,68,32,42,14,156,39.0,-33.047210300429185,Aug,Q3,Product_A,Product_D
2025-09-01,72,76,45,25,218,54.5,39.74358974358974,Sep,Q3,Product_B,Product_D
2025-10-01,60,60,23,11,154,38.5,-29.357798165137616,Oct,Q4,Product_A,Product_D
2025-11-01,60,53,27,24,164,41.0,6.493506493506485,Nov,Q4,Product_A,Product_D
2025-12-01,73,30,23,18,144,36.0,-12.195121951219512,Dec,Q4,Product_A,Product_D
